IND,Plot,Wet Weight,LA,Dry Mass,Trichomes,Serrations
ACESPI_GR_4_2,10,0.36337,,0.12581,,
SORAME_GR_9B_1,10,0.99742,,0.35616,,
SORAME_GR_9B_2,10,0.409,,0.12377,,
SPIALB_WM_2A_1,11,0.03763,,0.01129,,
SPIALB_WM_2A_2,11,0.03291,,0.01006,,
SPIALB_WM_5_1,11,0.07202,,0.02311,,
SPIALB_WM_5_2,11,0.06627,,0.02084,,
SPITOM_SH_99D_1,11,0.01764,,0.00764,,
SPITOM_SH_99D_2,11,0.04894,,0.01845,,
SPIALB_WM_4C_1,11,0.06927,,0.02454,,
SPIALB_WM_4C_2,11,0.08925,,0.03057,,
MYRGAL_WM_6B_1,11,0.04483,,0.01221,,
MYRGAL_WM_6B_2,11,0.04734,,0.01375,,
SPITOM_SH_99B_1,11,0.03545,,0.01251,,
SPITOM_SH_99B_2,11,0.05065,,0.01743,,
SPITOM_SH_99C_1,11,0.01389,,0.00621,,
SPITOM_SH_99C_2,11,0.05509,,0.02164,,
SPITOM_HF_5_1,11,0.01624,,0.00663,,
SPITOM_HF_5_2,11,0.01882,,0.0066,,
SPIALB_WM_4B_1,11,0.0737,,0.02573,,
SPIALB_WM_4B_2,11,0.08185,,0.02908,,
SPIALB_WM_4A_1,11,0.07777,,0.02662,,
SPIALB_WM_4A_2,11,0.10082,,0.03668,,
SPIALB_HF_4A_1,11,0.06447,,0.01912,,
SPIALB_HF_4A_2,11,0.098,,0.03076,,
VIBCAS_WM_4_1,11,0.40227,,0.12838,,
VIBCAS_WM_4_2,11,0.496,,0.17587,,
MYRGAL_WM_6A_1,11,0.06009,,0.0185,,
MYRGAL_WM_6A_2,11,0.10812,,0.03704,,
SPITOM_GR_1B_1,11,0.05284,,0.01843,,
SPITOM_GR_1B_2,11,0.0587,,0.02078,,
SPIALB_HF_10_1,11,0.04401,,0.01502,,
SPIALB_HF_10_2,11,0.0552,,0.01703,,
AROMEL_HF_12_1,11,0.14635,,0.05265,,
AROMEL_HF_12_2,11,0.22664,,0.07684,,
VIBCAS_WM_10_1,11,0.3417,,0.11239,,
VIBCAS_WM_10_2,11,0.4034,,0.13935,,
VIBCAS_WM_9A_1,11,0.4554,,0.13957,,
VIBCAS_WM_9A_2,11,0.70539,,0.21602,,
SPITOM_SH_99E_1,11,0.3981,,0.01393,,
SPITOM_SH_99E_2,11,0.04633,,0.0166,,
VIBCAS_WM_9B_1,11,0.3785,,0.11508,,
VIBCAS_WM_9B_2,11,0.4554,,0.14351,,
SPIALB_HF_4B_1,11,0.03207,,0.01422,,
SPIALB_HF_4B_2,11,0.04888,,0.01596,,
SPITOM_SH_99F_1,11,0.01188,,0.00514,,
SPITOM_SH_99F_2,11,0.053,,0.0197,,
AROMEL_WM_5_1,11,0.1028,,0.04014,,
AROMEL_WM_5_2,11,0.15287,,0.05247,,
VIBCAS_SH_9_1,11,0.16391,,0.0546,,
VIBCAS_SH_9_2,11,0.29033,,0.09351,,
SPITOM_GR_1A_1,11,0.04253,,0.01635,,
SPITOM_GR_1A_2,11,0.1069,,0.03671,,
SPITOM_HF_6_1,11,0.03083,,0.01202,,
SPITOM_HF_6_2,11,0.0638,,0.020104,,
VIBCAS_GR_10_1,11,0.5741,,0.19521,,
VIBCAS_GR_10_2,11,0.55911,,0.19379,,
VIBCAS_GR_1B_1,11,0.05822,,0.01986,,
VIBCAS_GR_1B_2,11,0.04858,,0.01571,,
AROMEL_HF_8A_1,11,0.25821,,0.08533,,
AROMEL_HF_8A_2,11,0.42663,,0.15762,,
AROMEL_HF_8B_1,11,0.06994,,0.02763,,
AROMEL_HF_8B_2,11,0.07433,,0.02615,,
ALNINC_SH_1_1,12,0.77614,,0.21785,,
ALNINC_SH_1_2,12,0.6572,,0.19366,,
ACEPEN_HF_12_1,12,1.217,,0.3706,,
ACEPEN_HF_12_2,12,1.2855,,0.41796,,
ALNINC_HF_8_1,12,0.6394,,0.23004,,
ALNINC_HF_8_2,12,0.8421,,0.27872,,
BETPOP_GR_A_1,12,0.25791,,0.0787,,
BETPOP_GR_A_2,12,0.51287,,0.017796,,
BETPOP_GR_5B_1,12,0.38387,,0.10882,,
BETPOP_GR_5B_2,12,0.56845,,0.16781,,
BETPAP_HF_16_1,12,0.2016,,0.07723,,
